  0.10    3.00   10.00   31.00
#-- Asp-Arg   *     
 -2.839   -0.299   3.295   -0.265
 8.30         0.02561        -0.02359     0.02561        -0.02359
 8.40         0.02359        -0.02022     0.02359        -0.02022
 8.50         0.02157        -0.02359     0.02157        -0.02359
 8.60         0.01887        -0.02359     0.01887        -0.02359
 8.70         0.01685        -0.02022     0.01685        -0.02022
 8.80         0.01483        -0.01685     0.01483        -0.01685
 8.90         0.01348        -0.01685     0.01348        -0.01685
 9.00         0.01146        -0.01685     0.01146        -0.01685
 9.10         0.01011        -0.01348     0.01011        -0.01348
 9.20         0.00876        -0.01685     0.00876        -0.01685
 9.30         0.00674        -0.01685     0.00674        -0.01685
 9.40         0.00539        -0.01348     0.00539        -0.01348
 9.50         0.00404        -0.01348     0.00404        -0.01348
 9.60         0.00270        -0.01348     0.00270        -0.01348
 9.70         0.00135        -0.00674     0.00135        -0.00674
 9.80         0.00135        -0.00674     0.00135        -0.00674
 9.90         0.00000        -0.00674     0.00000        -0.00674
10.00         0.00000        -0.00674     0.00000        -0.00674
#END
#-- Glu-Lys   *     
   0.000   0.000   0.000   0.000
 3.00         7.72863       -14.15915     0.00000         0.00000
 3.10         6.28710       -14.15915     0.00000         0.00000
 3.20         4.89680       -13.46810     0.00000         0.00000
 3.30         3.59348       -12.44885     0.00000         0.00000
 3.40         2.40703       -11.17900     0.00000         0.00000
 3.50         1.35768        -9.69205     0.00000         0.00000
 3.60         0.46862        -7.87195     0.00000         0.00000
 3.70        -0.21671        -5.82070     0.00000         0.00000
 3.80        -0.69552        -4.19355     0.00000         0.00000
 3.90        -1.05542        -3.26620     0.00000         0.00000
 4.00        -1.34876        -2.37295     0.00000         0.00000
 4.10        -1.53001        -1.36522     0.00000         0.00000
 4.20        -1.62180        -0.78705     0.00000         0.00000
 4.30        -1.68742        -0.65616     0.00000         0.00000
 4.40        -1.75304        -0.54680     0.00000         0.00000
 4.50        -1.79678        -0.39967     0.00000         0.00000
 4.60        -1.83297        -0.21872     0.00000         0.00000
 4.70        -1.84052        -0.09245     0.00000         0.00000
 4.80        -1.85146        -0.02734     0.00000         0.00000
 4.90        -1.84599         0.12265     0.00000         0.00000
 5.00        -1.82693         0.21616     0.00000         0.00000
 5.10        -1.80276         0.39681     0.00000         0.00000
 5.20        -1.74757         0.54936     0.00000         0.00000
 5.30        -1.69289         0.68769     0.00000         0.00000
 5.40        -1.61003         0.68764     0.00000         0.00000
 5.50        -1.55536         0.76132     0.00000         0.00000
 5.60        -1.45777         1.01070     0.00000         0.00000
 5.70        -1.35322         1.16883     0.00000         0.00000
 5.80        -1.22400         1.07475     0.00000         0.00000
 5.90        -1.13827         0.79811     0.00000         0.00000
 6.00        -1.06438         0.78752     0.00000         0.00000
 6.10        -0.98077         0.76011     0.00000         0.00000
 6.20        -0.91236         0.64609     0.00000         0.00000
 6.30        -0.85155         0.57008     0.00000         0.00000
 6.40        -0.79834         0.49407     0.00000         0.00000
 6.50        -0.75273         0.49407     0.00000         0.00000
 6.60        -0.69953         0.41806     0.00000         0.00000
 6.70        -0.66912         0.40818     0.00000         0.00000
 6.80        -0.61789         0.45850     0.00000         0.00000
 6.90        -0.57742         0.34250     0.00000         0.00000
 7.00        -0.54939         0.19695     0.00000         0.00000
 7.10        -0.53803         0.00000     0.00000         0.00000
 7.20        -0.54939        -0.12344     0.00000         0.00000
 7.30        -0.56272        -0.14022     0.00000         0.00000
 7.40        -0.57743        -0.12965     0.00000         0.00000
 7.50        -0.58865        -0.11411     0.00000         0.00000
 7.60        -0.60025        -0.08655     0.00000         0.00000
 7.70        -0.60596        -0.08558     0.00000         0.00000
 7.80        -0.61737        -0.07360     0.00000         0.00000
 7.90        -0.62068         0.06382     0.00000         0.00000
 8.00        -0.60461         0.18541     0.00000         0.00000
 8.10        -0.58360         0.37281     0.00000         0.00000
 8.20        -0.53004         0.52476     0.00000         0.00000
 8.30        -0.47865         0.51399     0.00000         0.00000
 8.40        -0.42725         0.49422     0.00000         0.00000
 8.50        -0.37980         0.43492     0.00000         0.00000
 8.60        -0.34026         0.37561     0.00000         0.00000
 8.70        -0.30468         0.35584     0.00000         0.00000
 8.80        -0.26909         0.33607     0.00000         0.00000
 8.90        -0.23746         0.29653     0.00000         0.00000
 9.00        -0.20979         0.31630     0.00000         0.00000
 9.10        -0.17420         0.29653     0.00000         0.00000
 9.20        -0.15048         0.23723     0.00000         0.00000
 9.30        -0.12676         0.21746     0.00000         0.00000
 9.40        -0.10699         0.19769     0.00000         0.00000
 9.50        -0.08722         0.19769     0.00000         0.00000
 9.60        -0.06745         0.20020     0.00000         0.00000
 9.70        -0.04718         0.21011     0.00000         0.00000
 9.80        -0.02543         0.15564     0.00000         0.00000
 9.90        -0.01605         0.12597     0.00000         0.00000
10.00        -0.00024         0.12597     0.00000         0.00000
#END
